,latitude,longitude,winery,province,country
331,41.285481,-1.21588,Bodegas Virgen del Águila,Northern Spain,Spain
332,48.0445311,-122.5410541,Holmes Harbor Cellars,Washington,US
333,33.8327079,-117.9180654,So Rare,California,US
334,-38.416097,-63.61667199999999,Ezio,Other,Argentina
335,37.670373,-120.9311702,Bumgarner,California,US
336,38.968032,-0.1844671,Vicente Gandia,Northern Spain,Spain
337,49.0443872,3.9495959,Charles Orban,Champagne,France
338,33.5747304,-117.7021041,Quail Creek,California,US
339,46.2981686,4.7707149,Jean-Pierre et Michel Auvigué,Burgundy,France
340,38.5712592,-121.4879216,The Magpie,California,US
341,44.724763,8.173701,Cà ed Balos,Piedmont,Italy
342,46.150906,9.5841675,Nera,Lombardy,Italy
343,38.2991658,-122.2858791,Vermeil,California,US
344,43.3875116,10.566085,Duemani,Tuscany,Italy
345,45.291222,-0.8680877,Château Castera,Bordeaux,France
346,-33.61315740000001,-71.4501843,Siegel,Leyda Valley,Chile
347,-32.9063346,-68.7660049,Bodega Familia Barberis,Mendoza Province,Argentina
348,44.837789,-0.57918,Château de Bensse,Bordeaux,France
349,42.6968735,-76.963447,Anthony Road,New York,US
350,-33.9560893,18.7435925,Reyneke,Stellenbosch,South Africa
351,41.7872278,-8.520882199999999,Quinta do Ameal,Vinho Verde,Portugal
352,-41.57269,173.4216613,Martin's Rake,Marlborough,New Zealand
353,37.488573,-122.404367,Square Peg,California,US
354,40.141614,16.0867858,Carbone,Southern Italy,Italy
355,40.46366700000001,-3.74922,Páramo de Guzmán,Northern Spain,Spain
356,44.77722,8.223105,Dario Cocito,Piedmont,Italy
357,-33.9490596,151.2518129,Three Bridges,New South Wales,Australia
358,-35.675147,-71.542969,Odfjell,Central Valley,Chile
359,43.5017856,11.0526538,Mormoraia,Tuscany,Italy
360,-34.321534,148.3094291,Barwang,Victoria,Australia
361,39.39987199999999,-8.224454,Feist,Port,Portugal
362,-34.791218,-56.276567,Bouza,Canelones,Uruguay
363,37.2519376,-121.8630212,Daniel,California,US
364,40.46366700000001,-3.74922,Caño,Northern Spain,Spain
365,45.1427392,8.1513432,Curto Marco,Piedmont,Italy
366,46.227638,2.213749,Château Valandraud,Bordeaux,France
367,43.1096272,2.2214839,Domaine Begude,Languedoc-Roussillon,France
368,37.5999938,14.0153557,Feudo Disisa,Sicily & Sardinia,Italy
369,38.779939,-120.890268,Diamond Springs Vineyard,California,US
370,32.8800604,-117.2340135,Della,California,US
371,36.0568738,-112.1406471,Arizona Angel,Arizona,US
372,33.3633675,-116.8355789,Mount Palomar,California,US
373,47.3375431,2.8003442,Hubert Brochard,Loire Valley,France
374,44.6989503,-0.0789776,Château Garrineau,Bordeaux,France
375,45.0555487,12.0560381,Adria Vini,Lombardy,Italy
376,34.6656809,-120.1147489,Carina Cellars,California,US
377,43.5912356,3.2583626,Les Jamelles,Languedoc-Roussillon,France
378,38.3151091,-122.4819805,El Molino,California,US
379,36.778261,-119.4179324,Chateau Meroux,California,US
380,44.67664420000001,8.0652257,Pietro Rinaldi,Piedmont,Italy
381,48.1362452,7.2731748,Domaine Weinbach,Alsace,France
382,-31.2219591,-70.93674419999999,La Playa,Limarí Valley,Chile
383,42.6060738,-6.704707,Ribas del Cúa,Northern Spain,Spain
384,44.939806,-0.191855,Château La Grave à Pomerol,Bordeaux,France
385,46.107309,4.636546,Robert Perroud,Beaujolais,France
386,40.46366700000001,-3.74922,Raúl Pérez,Northern Spain,Spain
387,-34.2880498,146.1538488,De Bortoli,New South Wales,Australia
388,-33.359703,-71.343857,Indomita,Casablanca Valley,Chile
389,44.9912304,9.5001417,Tenuta Villa Tavernago,Central Italy,Italy
390,38.4274688,-7.5294372,Cooperativa Reguengos de Monsaraz,Alentejano,Portugal
391,47.0525047,4.3837215,Jaboulet-Vercherre,Burgundy,France
392,44.468943,4.743221999999999,Domaine le Colombier,Rhône Valley,France
393,38.4212828,-122.3900237,Napa Cellars,California,US
394,38.525597,-120.8169223,Amador Cellars,California,US
395,45.314598,-122.910698,Archer,Oregon,US
396,42.566532,-76.91769699999999,Bellangelo,New York,US
397,44.9627173,4.847951,Alain Voge,Rhône Valley,France
398,45.127916,-123.193621,Amity Vineyards,Oregon,US
399,38.2967257,-122.2881341,Amicus by X Winery,California,US
400,-31.9477142,115.8670563,Riposte,South Australia,Australia
401,44.482178,1.066551,Château Haut-Monplaisir,Southwest France,France
402,44.837789,-0.57918,Château Vircoulon,Bordeaux,France
403,43.36739619999999,-3.4270115,Patrocinio,Northern Spain,Spain
404,-32.8915145,-68.8416831,Cinco Sentidos,Mendoza Province,Argentina
405,-41.2664704,175.4125222,Stonecrop,Martinborough,New Zealand
406,41.87194,12.56738,Gaggioli,Central Italy,Italy
407,42.3436534,-2.7538334,Juan Carlos Sancha,Northern Spain,Spain
408,36.778261,-119.4179324,The Lost Colony,California,US
409,32.1003478,-116.5716706,Vinicola Urbana,Valle de Guadalupe,Mexico
410,41.87194,12.56738,Casa Catelli,Southern Italy,Italy
411,43.542948,-5.665744,El Circulo,Northern Spain,Spain
412,34.1331119,-118.266128,Happy Camper,California,US
413,39.074208,21.824312,Hatzi Michalis,Opuntia Locris,Greece
414,-33.2494787,138.1158194,Heritage Road,South Australia,Australia
415,49.82031,6.87922,Heinz Schmitt,Mosel,Germany
416,-33.7321116,-70.6859332,Portal Del Alto,Maipo Valley,Chile
417,41.13095269999999,24.2596656,Domaine Costa Lazaridi,Macedonia,Greece
418,47.15371649999999,16.2688797,Gernot and Heike Heinrich,Burgenland,Austria
419,37.8768697,-119.2112473,Gibbs,California,US
420,45.6155613,10.0698344,Il Mosnel,Lombardy,Italy
421,-34.5931604,-68.31561599999999,Pampano,Mendoza Province,Argentina
422,-32.8896247,-68.8526867,Mountain Door,Mendoza Province,Argentina
423,35.6104169,-120.7184613,Écluse,California,US
424,44.7732208,8.3605358,Bersano,Piedmont,Italy
425,37.58970559999999,-122.0125518,Diamond Terrace,California,US
426,39.7438497,-121.8397108,MC2,California,US
